oa11cd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
E00004133,5,8,6,2,5,2,1,9,1,4,3,2,2,4,3,3,4,8,1,2,1,1,1,2,3,6,7,6,1,13,11,6,10,9,5,3,9,10,6,6,11,3,1,12,7,5,4,3,4,0,7,5,2,0,1,2,1,4,5,7,3,5,2,3,0,0,5,0,1,3,0,1,3,2,2,4,1,2,3,1,0,1,0,0,0,2,0,0,0,1,1
E00004135,5,1,0,1,1,1,1,3,2,0,1,1,0,0,0,0,0,0,0,0,0,3,2,0,1,2,5,7,10,14,4,4,3,8,10,6,3,3,3,4,4,6,6,3,5,5,4,0,4,1,1,0,2,2,1,0,0,2,1,1,1,3,1,1,1,0,2,1,0,1,2,1,2,2,1,3,2,0,3,0,0,0,2,0,0,2,0,0,0,0,0
E00004168,5,8,4,9,7,4,2,2,4,4,2,1,1,2,0,0,0,0,0,0,0,1,1,0,3,1,4,3,3,2,5,6,13,4,2,7,6,6,8,10,8,3,7,5,5,7,5,2,4,2,3,2,3,4,6,4,0,4,1,0,1,0,2,0,3,4,2,2,1,4,2,4,4,0,2,0,1,4,1,3,1,1,1,2,1,0,2,2,2,1,4
E00004172,0,0,2,3,0,0,0,1,1,1,3,1,1,0,0,0,0,4,3,0,1,1,1,3,1,4,5,8,8,5,7,6,5,4,7,3,2,3,4,3,2,5,5,3,3,3,2,7,8,5,3,6,4,7,6,3,4,4,3,6,2,2,6,3,3,2,2,1,1,2,4,1,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,1
E00004193,0,1,2,3,3,3,2,0,0,1,0,3,3,0,0,0,2,2,30,156,84,74,62,58,49,73,67,49,42,46,38,36,27,23,17,14,10,10,11,8,9,15,1,8,5,9,6,5,8,5,4,11,4,5,3,8,7,5,7,5,5,2,0,4,1,3,8,1,2,0,0,6,3,4,0,3,5,2,0,0,1,0,0,0,1,0,0,0,1,0,1
E00004195,3,0,0,0,1,1,4,1,2,0,3,2,2,1,4,2,0,2,1,5,3,6,10,4,6,8,12,7,9,11,9,9,8,5,4,7,6,4,5,3,1,2,2,6,3,4,6,1,6,4,2,4,3,3,0,2,2,5,1,5,1,2,3,2,5,1,0,1,2,1,1,0,2,1,2,0,1,2,0,1,1,0,0,0,1,0,1,0,0,0,3
E00004196,2,0,0,0,1,2,1,0,1,0,0,1,1,0,1,3,6,1,2,0,2,2,3,4,5,3,11,5,12,4,4,4,5,3,0,2,2,4,3,2,1,1,1,2,3,2,2,1,1,1,2,3,1,1,1,7,3,0,4,1,1,1,5,3,1,5,2,0,6,3,0,2,5,1,6,1,3,1,4,1,0,1,1,0,1,1,0,0,0,1,7
E00004199,3,3,3,0,2,2,2,0,1,1,1,5,4,3,1,5,2,0,1,3,3,5,5,4,7,10,9,8,9,7,13,10,2,5,8,14,7,6,13,6,6,6,4,10,4,7,6,9,4,6,4,5,5,6,5,11,9,5,5,7,3,1,3,2,2,7,5,4,3,5,3,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0,0,1
E00004187,1,3,0,0,1,2,0,2,0,2,2,5,6,5,5,0,3,2,2,10,2,3,5,4,4,12,18,16,16,5,5,13,9,9,8,13,7,7,5,11,9,8,6,9,11,8,3,5,6,4,8,5,2,5,6,3,7,10,9,10,8,6,6,2,10,4,0,5,2,2,4,7,3,2,2,4,2,0,0,0,0,5,0,0,4,0,0,0,1,1,3
E00004194,2,1,0,2,2,6,7,2,2,2,5,0,0,3,3,3,0,0,1,0,0,4,1,2,3,7,5,5,3,9,7,9,11,7,4,8,6,11,8,7,6,5,5,5,8,7,9,6,5,1,5,4,2,5,6,3,3,5,4,2,3,9,3,6,0,3,2,4,2,4,2,1,0,1,5,4,2,0,0,1,0,0,3,0,0,0,0,0,2,0,0
E00004198,1,1,0,1,2,2,2,2,2,0,0,1,2,0,0,4,2,2,2,0,5,2,6,6,2,8,10,21,11,9,12,9,8,6,2,2,7,0,4,4,8,5,3,4,6,6,9,4,2,4,4,5,2,4,1,5,3,6,5,0,3,4,6,1,4,5,1,0,0,2,5,3,1,0,4,1,2,0,0,1,0,0,0,0,2,2,2,2,0,1,1
E00004200,3,1,3,2,0,2,7,2,0,2,0,4,0,0,0,0,0,2,0,0,4,3,2,3,2,6,5,7,9,3,8,5,7,3,5,4,5,4,5,3,5,2,3,3,3,1,6,3,4,3,2,3,1,2,2,5,2,3,2,2,2,1,1,4,2,1,0,1,1,2,2,0,0,0,2,1,4,2,0,0,1,0,0,0,3,1,0,1,0,0,0
E00174650,0,1,2,0,2,0,0,3,3,0,3,0,0,3,3,0,0,0,14,54,23,16,21,23,26,25,15,11,12,7,14,9,6,5,7,3,3,5,5,3,2,6,2,5,3,4,3,2,3,1,0,1,1,1,2,4,4,0,1,2,3,0,0,0,0,1,0,0,3,0,0,0,0,3,0,2,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0
E00174651,0,0,2,3,0,2,2,2,3,5,3,4,6,3,5,2,0,11,175,234,77,56,47,44,24,22,19,17,9,10,5,3,7,3,3,0,1,5,8,5,5,3,5,3,3,4,7,4,1,1,3,3,4,2,1,6,2,1,3,2,0,2,2,3,0,1,1,0,1,0,1,1,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
E00004173,3,2,1,3,0,1,1,0,0,0,1,0,0,0,0,2,0,0,39,133,93,77,52,49,39,25,20,17,14,9,11,10,8,9,9,7,8,8,4,4,8,3,1,6,4,1,2,6,7,3,2,2,2,1,4,0,8,3,5,4,2,2,1,2,0,10,4,1,5,6,1,0,2,0,0,0,0,5,1,0,0,7,3,1,0,0,0,0,0,2,9
E00004177,0,0,0,4,2,0,0,2,0,0,0,0,1,0,2,0,0,2,12,80,46,56,44,31,29,13,11,12,9,7,11,11,7,4,5,4,4,4,3,3,7,3,5,2,2,2,0,1,1,2,1,3,1,3,3,1,3,2,0,0,2,3,2,4,0,0,1,3,4,0,4,2,1,2,0,1,2,0,0,0,0,2,2,0,3,0,0,0,1,0,1
E00004184,2,5,4,5,0,2,4,2,3,0,6,1,0,1,0,4,2,4,1,2,4,3,6,5,3,3,4,5,3,0,5,5,2,3,4,4,4,1,3,0,3,3,3,1,3,2,4,1,1,3,3,3,3,1,4,2,3,1,5,1,3,2,0,3,1,5,4,3,3,0,3,2,4,4,0,2,0,0,2,1,0,3,2,0,0,0,3,0,2,0,0
E00174655,5,0,2,2,5,0,0,2,0,0,2,0,0,0,0,2,1,2,2,2,3,4,5,4,7,4,6,5,8,6,9,9,9,4,5,6,6,5,7,3,5,5,4,5,4,4,5,6,6,2,5,5,1,5,3,5,6,4,4,4,4,1,0,10,8,2,0,4,0,7,2,4,3,2,2,1,1,0,2,3,0,4,1,2,1,2,0,0,0,0,2
E00174676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,32,15,22,23,19,22,9,18,16,7,8,6,4,3,1,0,1,1,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00004175,5,6,0,3,2,2,6,4,16,4,1,2,5,4,3,2,2,2,2,1,5,4,1,8,6,3,4,4,3,5,6,3,8,8,7,4,2,4,6,8,6,2,2,5,2,5,2,3,3,3,4,3,3,5,7,3,5,2,5,1,4,3,3,6,3,8,1,4,4,4,3,1,0,1,2,1,2,1,0,0,0,0,0,2,1,0,1,1,1,0,1
E00004179,2,5,3,2,5,5,6,4,5,0,8,6,0,3,4,2,5,3,2,0,8,4,1,2,4,1,3,4,3,1,5,3,4,3,3,4,5,6,4,2,4,3,0,2,2,7,4,5,4,2,2,3,4,7,2,4,5,6,6,3,5,8,3,3,6,6,4,9,4,6,8,6,8,7,3,6,5,11,6,1,5,4,2,2,1,3,0,2,0,7,10
E00004180,1,1,4,3,4,5,4,0,4,4,0,4,1,5,3,1,0,1,1,1,6,5,13,13,7,12,8,11,5,7,17,11,7,5,7,4,6,7,7,4,1,2,1,1,3,4,5,3,2,3,3,1,4,4,2,5,1,2,1,0,1,0,2,0,2,0,5,0,0,1,1,0,2,3,3,0,3,0,0,3,1,4,0,0,0,3,0,0,0,0,0
E00004181,3,2,3,5,5,8,8,2,9,7,7,4,6,6,2,0,4,5,1,2,5,3,4,3,4,1,3,1,3,2,5,3,3,2,1,5,5,2,5,3,5,8,2,4,3,3,6,3,4,6,3,2,7,3,6,6,3,5,3,7,4,8,1,8,2,4,5,8,7,2,5,7,6,4,7,10,8,6,7,6,7,10,9,3,4,6,1,1,2,2,8
